status,ip_frequency,unique_connections_count,ip_volume,url_aberrations,unusual_referrer,user_agent_analysis,out_of_order_access,Anomaly
403,29,29,6675,1,1,0,0,-1
403,29,29,6675,1,1,0,1,-1
404,29,29,6675,0,1,0,1,1
403,29,29,6675,1,1,0,1,-1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,1,1,1
404,29,29,6675,0,1,0,1,1
403,29,29,6675,1,1,0,1,-1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
500,29,29,6675,0,1,0,1,-1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
401,29,29,6675,0,1,0,1,-1
403,8,8,1872,1,1,0,0,-1
404,8,8,1872,1,1,0,1,1
403,8,8,1872,1,1,0,1,1
404,8,8,1872,0,1,0,1,1
404,8,8,1872,0,1,0,1,1
200,1,1,1234,0,1,0,0,1
200,1,1,2345,0,1,0,0,1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
403,29,29,6675,1,1,0,1,-1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
403,29,29,6675,1,1,0,1,-1
401,29,29,6675,0,1,0,1,-1
200,1,1,3456,0,1,0,0,1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
404,8,8,1872,0,1,0,1,1
403,8,8,1872,1,1,0,1,1
404,8,8,1872,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
404,29,29,6675,0,1,0,1,1
